Year,Roman Empire,China,India,Parthian/Sassanid Empire,Other,Byzantine Empire,Islamic Caliphate,Mongol Empire,Ottoman Empire,European Powers,British Empire,France,Spain,Russia,Japan,US,USSR,NATO + Aligned,BRICS + Aligned
-100,25,26,24,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,25,22,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,32,24,21,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,30,26,22,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,28,27,22,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,15,30,25,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5,32,28,8,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0,33,27,6,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0
700,0,32,25,0,13,15,15,0,0,0,0,0,0,0,0,0,0,0,0
800,0,32,24,0,14,12,18,0,0,0,0,0,0,0,0,0,0,0,0
900,0,33,23,0,15,12,17,0,0,0,0,0,0,0,0,0,0,0,0
1000,0,33,24,0,16,12,15,0,0,0,0,0,0,0,0,0,0,0,0
1100,0,32,23,0,17,13,15,0,0,0,0,0,0,0,0,0,0,0,0
1200,0,30,22,0,16,12,15,5,0,0,0,0,0,0,0,0,0,0,0
1250,0,28,20,0,15,10,12,15,0,0,0,0,0,0,0,0,0,0,0
1300,0,29,21,0,17,9,10,14,0,0,0,0,0,0,0,0,0,0,0
1350,0,28,20,0,18,10,9,8,0,5,0,0,0,0,0,0,0,0,0
1400,0,29,21,0,19,8,8,5,0,10,0,0,0,0,0,0,0,0,0
1450,0,28,22,0,18,7,7,3,2,13,0,0,0,0,0,0,0,0,0
1500,0,29,23,0,17,6,6,0,4,15,0,0,0,0,0,0,0,0,0
1550,0,28,22,0,16,5,5,0,6,13,2,2,3,0,0,0,0,0,0
1600,0,29,23,0,15,4,4,0,7,11,3,3,4,0,0,0,0,0,0
1650,0,30,24,0,14,3,3,0,6,10,4,3,3,0,0,0,0,0,0
1700,0,32,25,0,13,2,2,0,5,9,6,3,3,0,0,0,0,0,0
1750,0,37.19,20.45,0,17.7,0,0,0,2.55,12.9,9.19,0,0,0,0,0,0,0,0
1760,0,37.31,16.33,0,17.82,0,0,0,2.5,13.03,13.0,0,0,0,0,0,0,0,0
1770,0,37.23,15.86,0,17.99,0,0,0,2.48,13.22,13.03,0,0,0,0.22,0,0,0,0
1780,0,36.93,12.11,0,18.15,0,0,0,2.46,13.42,16.54,0,0,0,0.36,0,0,0,0
1790,0,36.42,11.78,0,18.36,0,0,0,2.47,13.44,16.91,0,0,0,0.6,0,0,0,0
1800,0,35.46,8.28,0,18.49,0,0,0,2.66,14.09,20.03,0,0,0,0.98,0,0,0,0
1810,0,34.43,8.03,0,19.53,0,0,0,2.7,13.58,20.0,0,0,0.15,1.6,0,0,0,0
1820,0,32.65,4.78,0,20.95,0,0,0,2.3,12.51,22.87,0,0,1.32,2.59,0,0,0,0
1830,0,30.55,4.54,0,21.38,0,0,0,2.16,13.09,23.06,0,0,1.69,3.55,0,0,0,0
1840,0,25.03,1.7,0,21.63,0,0,0,2.19,14.87,27.24,0,0,2.15,4.6,0.56,0,0,0
1850,0,23.06,1.62,0,21.89,0,0,0,2.22,15.09,26.61,0,0,2.77,6.21,0.51,0,0,0
1860,0,19.88,0,0,22.16,0,0,0,2.0,16.11,27.03,0,0,3.44,8.92,0.44,0,0,0
1870,0,17.25,0,0,20.25,0,0,0,1.9,15.53,26.31,0,0,4.37,10.95,3.46,0,0,0
1880,0,14.3,0,0,20.48,0,0,0,1.21,15.81,25.17,0,0,5.12,14.69,3.2,0,0,0
1890,0,12.56,0,0,21.01,0,0,0,1.12,14.76,24.96,0,0,6.02,16.35,3.22,0,0,0
1900,0,10.62,0,0,22.53,0,0,0,1.02,12.92,22.89,0,0,7.41,18.99,3.65,0,0,0
1910,0,8.45,0,0,22.94,0,0,0,0.92,11.99,22.06,0,0,8.07,22.12,3.49,0,0,0
1920,0,9.52,0,0,25.65,0,0,0,0,9.91,20.93,0,0,0,25.91,4.77,3.29,0,0
1930,0,7.68,0,0,26.93,0,0,0,0,10.6,19.62,0,0,0,23.53,4.62,6.94,0,0
1940,0,7.68,0,0,10.71,0,0,0,0,10.86,23.63,0,0,0,27.95,7.23,11.95,0,0
1950,0,5.18,4.2,0,14.37,0,0,0,0,5.99,1.82,0,0,0,27.78,0,14.75,25.88,0
1960,0,5.3,3.92,0,16.73,0,0,0,0,0.51,0.04,0,0,0,24.65,0,16.27,32.6,0
1970,0,5.23,3.43,0,17.31,0,0,0,0,0.43,0,0,0,0,22.61,0,15.89,35.08,0
1980,0,5.93,3.18,0,18.39,0,0,0,0,0,0,0,0,0,21.25,0,14.31,36.95,0
1990,0,7.81,4.04,0,25.92,0,0,0,0,0,0,0,0,0.1,21.49,0,0,40.62,0
2000,0,10.27,4.62,0,24.38,0,0,0,0,0,0,0,0,0,21.76,0,0,38.95,0
2010,0,14.6,5.9,0,21.49,0,0,0,0,0,0,0,0,0,17.08,0,0,33.69,7.21
2020,0,16.43,8.37,0,21.87,0,0,0,0,0,0,0,0,0,16.12,0,0,30.89,6.26
2025,0,17.5,9.0,0,22.0,0,0,0,0,0,0,0,0,0,15.5,0,0,29.5,6.5
